d001.s001.t001,this,this,DET,O
d001.s001.t002,document,document,NOUN,bn:00028015n
d001.s001.t003,is,be,AUX,O
d001.s001.t004,a,a,DET,O
d001.s001.t005,summary,summary,NOUN,bn:00075142n
d001.s001.t006,of,of,ADP,O
d001.s001.t007,the,the,DET,O
d001.s001.t008,european,european,ADJ,bn:00102440a
d001.s001.t009,public,public,ADJ,bn:00109211a
d001.s001.t010,assessment,assessment,NOUN,bn:00005120n
d001.s001.t011,report,report,NOUN,bn:00067181n
d001.s001.t012,(,(,PUNCT,O
d001.s001.t013,epar,epar,PROPN,O
d001.s001.t014,),),PUNCT,O
d001.s001.t015,.,.,PUNCT,O
d001.s002.t001,it,it,PRON,O
d001.s002.t002,explains,explain,VERB,bn:00087869v
d001.s002.t003,how,how,SCONJ,O
d001.s002.t004,the,the,DET,O
d001.s002.t005,committee,committee,NOUN,bn:00021015n
d001.s002.t006,for,for,ADP,O
d001.s002.t007,medicinal,medicinal,ADJ,bn:00106556a
d001.s002.t008,products,product,NOUN,bn:00064584n
d001.s002.t009,for,for,ADP,O
d001.s002.t010,human,human,ADJ,bn:00104386a
d001.s002.t011,use,use,NOUN,bn:00030627n
d001.s002.t012,(,(,PUNCT,O
d001.s002.t013,chmp,chmp,ADV,bn:00114246r
d001.s002.t014,),),PUNCT,O
d001.s002.t015,assessed,assess,VERB,bn:00082720v
d001.s002.t016,the,the,DET,O
d001.s002.t017,studies,study,NOUN,bn:00074790n
d001.s002.t018,performed,perform,VERB,bn:00091550v
d001.s002.t019,",",",",PUNCT,O
d001.s002.t020,to,to,PART,O
d001.s002.t021,reach,reach,VERB,bn:00082790v
d001.s002.t022,their,their,PRON,O
d001.s002.t023,recommendations,recommendation,NOUN,bn:00066562n
d001.s002.t024,on,on,ADP,O
d001.s002.t025,how,how,SCONJ,O
d001.s002.t026,to,to,PART,O
d001.s002.t027,use,use,VERB,bn:00082705v
d001.s002.t028,the,the,DET,O
d001.s002.t029,medicine,medicine,NOUN,bn:00054128n
d001.s002.t030,.,.,PUNCT,O
d001.s003.t001,if,if,SCONJ,O
d001.s003.t002,you,you,PRON,O
d001.s003.t003,need,need,VERB,bn:00082822v
d001.s003.t004,more,more,ADJ,bn:00106936a
d001.s003.t005,information,information,NOUN,bn:00046698n
d001.s003.t006,about,about,ADP,O
d001.s003.t007,your,your,PRON,O
d001.s003.t008,medical,medical,ADJ,bn:00106555a
d001.s003.t009,condition,condition,NOUN,bn:00021644n
d001.s003.t010,or,or,CCONJ,O
d001.s003.t011,your,your,PRON,O
d001.s003.t012,treatment,treatment,NOUN,bn:00047235n
d001.s003.t013,",",",",PUNCT,O
d001.s003.t014,read,read,VERB,bn:00092424v
d001.s003.t015,the,the,DET,O
d001.s003.t016,package,package,NOUN,bn:00060109n
d001.s003.t017,leaflet,leaflet,NOUN,bn:00012133n
d001.s003.t018,(,(,PUNCT,O
d001.s003.t019,also,also,ADV,bn:00114246r
d001.s003.t020,part,part,NOUN,bn:00021395n
d001.s003.t021,of,of,ADP,O
d001.s003.t022,the,the,DET,O
d001.s003.t023,epar,epar,PROPN,O
d001.s003.t024,),),PUNCT,O
d001.s003.t025,or,or,CCONJ,O
d001.s003.t026,contact,contact,VERB,bn:00085696v
d001.s003.t027,your,your,PRON,O
d001.s003.t028,doctor,doctor,NOUN,bn:00027976n
d001.s003.t029,or,or,CCONJ,O
d001.s003.t030,pharmacist,pharmacist,NOUN,bn:00004992n
d001.s003.t031,.,.,PUNCT,O
d001.s004.t001,if,if,SCONJ,O
d001.s004.t002,you,you,PRON,O
d001.s004.t003,want,want,VERB,bn:00086682v
d001.s004.t004,more,more,ADJ,bn:00106935a
d001.s004.t005,information,information,NOUN,bn:00046705n
d001.s004.t006,on,on,ADP,O
d001.s004.t007,the,the,DET,O
d001.s004.t008,basis,basis,NOUN,bn:00008870n
d001.s004.t009,of,of,ADP,O
d001.s004.t010,the,the,DET,O
d001.s004.t011,chmp,chmp,ADJ,bn:00099742a
d001.s004.t012,recommendations,recommendation,NOUN,bn:00066562n
d001.s004.t013,",",",",PUNCT,O
d001.s004.t014,read,read,VERB,bn:00092424v
d001.s004.t015,the,the,DET,O
d001.s004.t016,scientific,scientific,ADJ,bn:00110176a
d001.s004.t017,discussion,discussion,NOUN,bn:00027523n
d001.s004.t018,(,(,PUNCT,O
d001.s004.t019,also,also,ADV,bn:00114246r
d001.s004.t020,part,part,NOUN,bn:00021395n
d001.s004.t021,of,of,ADP,O
d001.s004.t022,the,the,DET,O
d001.s004.t023,epar,epar,PROPN,O
d001.s004.t024,),),PUNCT,O
d001.s004.t025,.,.,PUNCT,O
d001.s005.t001,what,what,PRON,O
d001.s005.t002,is,be,AUX,O
d001.s005.t003,alimta,alimta,ADJ,bn:00097350a
d001.s005.t004,?,?,PUNCT,O
d001.s006.t001,alimta,alimta,NOUN,bn:00066070n
d001.s006.t002,is,be,AUX,O
d001.s006.t003,a,a,DET,O
d001.s006.t004,powder,powder,NOUN,bn:00063926n
d001.s006.t005,that,that,PRON,O
d001.s006.t006,is,be,AUX,O
d001.s006.t007,made,make,VERB,bn:00090558v
