File,Score,Spearman,Pearson
kin2eng_test.csv,Relatedness,0.30871814661957175,0.2862727986225052
kin2eng_test.csv,THM(0.8),0.3068282076849858,0.3136710354120672
pan2eng_test.csv,Relatedness,-0.19861214885992637,-0.24948222967218295
pan2eng_test.csv,THM(0.8),-0.19702701465593833,-0.22102106015117515
hin2eng_test.csv,Relatedness,0.583114101438868,0.5215811506567096
hin2eng_test.csv,THM(0.8),0.5902521075131574,0.5642336220795366
hin_test_with_labels.csv,Relatedness,0.46160787010014814,0.44206883149346315
hin_test_with_labels.csv,THM(0.8),0.46403978567981546,0.4614512302666964
arb2eng_test.csv,Relatedness,0.4181609640341024,0.3466772922995158
arb2eng_test.csv,THM(0.8),0.4276244537458663,0.3893524038931125
arb_test_with_labels.csv,Relatedness,0.22631068949935962,0.21559056520612668
arb_test_with_labels.csv,THM(0.8),0.21755603119871836,0.22173457386725245
amh2eng_test.csv,Relatedness,0.582522021896593,0.4703888506985494
amh2eng_test.csv,THM(0.8),0.6006147971448969,0.5761881090105748
mar2eng_test.csv,Relatedness,0.6476607566155147,0.6344588357263161
mar2eng_test.csv,THM(0.8),0.6468562732666547,0.6694126630070167
afr2eng_test.csv,Relatedness,0.702398471417134,0.5921455516456242
afr2eng_test.csv,THM(0.8),0.696761621556791,0.6273696654407821
afr_test_with_labels.csv,Relatedness,0.6472284206910139,0.5574056468123397
afr_test_with_labels.csv,THM(0.8),0.656978496648643,0.6079339036580218
hau2eng_test.csv,Relatedness,0.34720801820321123,0.36492115148809245
hau2eng_test.csv,THM(0.8),0.34866156252697095,0.3818876780050288
ind2eng_test.csv,Relatedness,0.44577114836018944,0.4625373328817995
ind2eng_test.csv,THM(0.8),0.3897059454273418,0.36025423529695905
ind_test_with_labels.csv,Relatedness,0.4626690284075201,0.46031542390141456
ind_test_with_labels.csv,THM(0.8),0.3859720680592322,0.33694773795444066
arq2eng_test.csv,Relatedness,0.373231590719197,0.3536816306324955
arq2eng_test.csv,THM(0.8),0.37926535094364916,0.3763557939612322
arq_test_with_labels.csv,Relatedness,0.19772339061936678,0.16222460197321037
arq_test_with_labels.csv,THM(0.8),0.20710491574358192,0.17519096063519995
tel2eng_test.csv,Relatedness,0.7049330847165584,0.6621852283672518
tel2eng_test.csv,THM(0.8),0.7031062433694969,0.700845546771641
ary2eng_test.csv,Relatedness,0.377659222865277,0.37328830418905207
ary2eng_test.csv,THM(0.8),0.40624753539832886,0.4019930839967574
ary_test_with_labels.csv,Relatedness,0.2370960398138696,0.3014289171159007
ary_test_with_labels.csv,THM(0.8),0.2561833683347131,0.29227773143091473
eng_test.csv,Relatedness,0.6871887950406788,0.6325457639323103
eng_test.csv,THM(0.8),0.6893288834649868,0.6776375547687863
eng_esp_dev.csv,Relatedness,0.47718645955267486,0.46565872496901806
eng_esp_dev.csv,THM(0.8),0.5151256252535863,0.4967293682896257
trans_eng_esp_dev.csv,THM(0.8),0.641101690388402,0.6285873430922797
trans_eng_esp_dev.csv,Relatedness,0.6311010752285047,0.5815152464089942
trans_track4a_sts_esp_eng_test.csv,Relatedness,0.6923441392897155,0.706261167243184
trans_track4a_sts_esp_eng_test.csv,THM(0.8),0.6901613257562907,0.6854525219269957
track4a_sts_esp_eng_test.csv,Relatedness,0.4914282768816439,0.5269567446868649
track4a_sts_esp_eng_test.csv,THM(0.8),0.5032872155625171,0.5140779633366684
trans_track4b_sts_esp_eng_test.csv,Relatedness,0.18207644425234684,0.1806613778143154
trans_track4b_sts_esp_eng_test.csv,THM(0.8),0.14263221652531774,0.1321655475894123
track4b_sts_esp_eng_test.csv,Relatedness,0.12751733076259475,0.13410780625590477
track4b_sts_esp_eng_test.csv,THM(0.8),0.1554036176916848,0.15737143407798368
track5_eng_eng_test.csv,Relatedness,0.7727827919007557,0.7503088593436698
track5_eng_eng_test.csv,THM(0.8),0.7481551927867506,0.7430504875298438
